year,date,stage,unit_id,job_number,issue,raw_file
2017,20170101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170102,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170107,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170108,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170114,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170115,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170121,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170122,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170125,normalize,3.87.5.42,1060117,缺少得標廠商,data/raw/taichung/2017/tenders/20170125_3.87.5.42_1060117.json
2017,20170127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170129,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170130,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170131,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170201,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170203,normalize,3.87.8.83,105017,缺少得標廠商,data/raw/taichung/2017/tenders/20170203_3.87.8.83_105017.json
2017,20170204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170205,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170206,normalize,3.87.8.83,105018,缺少得標廠商,data/raw/taichung/2017/tenders/20170206_3.87.8.83_105018.json
2017,20170209,normalize,3.87.6.6,krjh-105-1221,缺少得標廠商,data/raw/taichung/2017/tenders/20170209_3.87.6.6_krjh-105-1221.json
2017,20170211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170212,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170225,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170226,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2017,20170302,normalize,3.87.6.6,krjh-105-1230,缺少得標廠商,data/raw/taichung/2017/tenders/20170302_3.87.6.6_krjh-105-1230.json
2017,20170304,daily,,,非 JSON 回應：text/html; charset=UTF-8,
