year,date,stage,unit_id,job_number,issue,raw_file
2018,20180101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180106,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180107,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180113,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180114,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180120,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180121,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180127,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180128,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180203,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180204,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180210,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180211,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180215,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180217,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180218,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180220,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180224,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180225,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180303,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180304,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180310,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180311,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180316,normalize,3.87.14,106A25,缺少得標廠商,data/raw/taichung/2018/tenders/20180316_3.87.14_106A25.json
2018,20180316,normalize,3.87.15,N1169,找不到對應案件詳情,data/raw/taichung/2018/tenders/20180316_3.87.15_N1169.json
2018,20180316,normalize,3.87.15,N1169,找不到對應案件詳情,data/raw/taichung/2018/tenders/20180316_3.87.15_N1169.json
2018,20180316,normalize,3.87.15,N1169,缺少可解析的決標金額,data/raw/taichung/2018/tenders/20180316_3.87.15_N1169.json
2018,20180316,normalize,3.87.15,N1169,缺少可解析的決標金額,data/raw/taichung/2018/tenders/20180316_3.87.15_N1169.json
2018,20180317,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180318,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180324,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180325,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180401,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180406,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180407,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180408,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180414,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2018,20180415,daily,,,非 JSON 回應：text/html; charset=UTF-8,
