case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.1|10812041635|20200102|BDM-1-52978846,2020,20200102,2019-12-27,3.87.1,臺中市政府秘書處,10812041635,109年度臺中市政府陽明巿政大樓空調設備維護保養採購,<勞務類>8676技術檢定與分析服務,限制性招標(經公開評選或公開徵求),準用最有利標,1500000,1138000,1,威聿企業有限公司,臺中市(非原住民地區),臺中市－豐原區,109/01/01－109/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52978846.xml,data/raw/taichung/2020/tenders/20200102_3.87.1_10812041635.json
3.87.1|10812181045|20200102|BDM-1-52981225,2020,20200102,2019-12-31,3.87.1,臺中市政府秘書處,10812181045,臺中市政府臺灣大道市政大樓地下室停車場修復工程,<工程類>5174地板及牆面貼磚工程,公開招標,最低標,8451438,5600000,1,寶德營造工程有限公司,臺中市(非原住民地區),臺中市－西屯區,109/01/15－109/06/30(預估),臺中市政府臺灣大道,標案名稱,,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52981225.xml,data/raw/taichung/2020/tenders/20200102_3.87.1_10812181045.json
3.87.10.1|108A-252|20200102|BDM-1-52980189,2020,20200102,2019-12-30,3.87.10.1,臺中市新建工程處,108A-252,龍井區麗水漁港新建跨河橋梁及周邊自行車道串連改善工程,<工程類>5139其他土木工程,公開招標,最低標,27050000,24680000,1,祐霖營造有限公司,臺中市(非原住民地區),臺中市－龍井區,109/01/09－109/12/31(預估),,,橋梁,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52980189.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.1_108A-252.json
3.87.10.1|108A-278|20200102|BDM-1-52980128,2020,20200102,2019-12-30,3.87.10.1,臺中市新建工程處,108A-278,臺中市公園綠地等景觀優化及改善工程(第二期),<工程類>5137運動及娛樂工程,公開招標,最低標,2194316,1947000,1,大鵬營造股份有限公司,臺中市(非原住民地區),臺中市－全區,109/01/09－110/03/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52980128.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.1_108A-278.json
3.87.10.1|108A-286|20200102|BDM-1-52980969,2020,20200102,2019-12-31,3.87.10.1,臺中市新建工程處,108A-286,城鎮之心鐵道綠廊潭心計畫工程(第二標)(第一次變更設計),<工程類>5159其他專業工程,限制性招標(未經公開評選或公開徵求),最低標,5003828,4900000,1,國芳營造有限公司,臺中市(非原住民地區),臺中市－潭子區,109/01/10－109/07/02(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52980969.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.1_108A-286.json
3.87.10.1|108A-288|20200102|BDM-1-52980963,2020,20200102,2019-12-31,3.87.10.1,臺中市新建工程處,108A-288,臺中世界花卉博覽會后里園區暨豐原葫蘆墩公園臨時建築與相關設施拆除及周邊復舊等工程-第一次變更設計,<工程類>5112拆除工程,限制性招標(未經公開評選或公開徵求),最低標,286547,286547,1,業竣營造有限公司,臺中市(非原住民地區),"臺中市－豐原區,臺中市－后里區",109/01/10－109/01/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52980963.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.1_108A-288.json
3.87.10.1|108A-292|20200102|BDM-1-52981035,2020,20200102,2019-12-31,3.87.10.1,臺中市新建工程處,108A-292,「臺中市第14期市地重劃全區供電迴路改善建置工程」第一次變更設計,<工程類>5139其他土木工程,限制性招標(未經公開評選或公開徵求),最低標,398345,395000,1,柏鋒水電行,臺中市(非原住民地區),臺中市－北屯區,109/01/10－109/03/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52981035.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.1_108A-292.json
3.87.10.2|108A-277|20200102|BDM-1-52981334,2020,20200102,2019-12-30,3.87.10.2,臺中市養護工程處,108A-277,108年度臺中市西屯區東大路(國安二路至福強街)道路改善工程,"<工程類>5131快速道路(不含高架快速道路),街道,馬路,鐵路及機場跑道",公開招標,最低標,8082000,7730000,1,慶裕成營造有限公司,臺中市(非原住民地區),臺中市－西屯區,109/01/09－109/12/31(預估),國安二路；福強街,標案名稱,道路養護,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52981334.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.2_108A-277.json
3.87.10.2|108B-085|20200102|BDM-1-52980791,2020,20200102,2019-12-27,3.87.10.2,臺中市養護工程處,108B-085,109年度臺中市養護工程處屯區工程隊道路景觀綠美化維護-第三工區,<勞務類>97其他服務,限制性招標(經公開評選或公開徵求),準用最有利標,8000000,7300000,1,寶徠興企業有限公司,臺中市(非原住民地區),"臺中市－烏日區,臺中市－大肚區,臺中市－龍井區",109/01/06－109/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52980791.xml,data/raw/taichung/2020/tenders/20200102_3.87.10.2_108B-085.json
3.87.12|1081203900-21|20200102|BDM-1-52978862,2020,20200102,2019-12-25,3.87.12,臺中市政府社會局,1081203900-21,臺中市西屯社區公共托育家園裝修工程,<工程類>5129其他用途建築工程,公開招標,最低標,3426225,3284400,1,源禾室內裝修設計工程有限公司,臺中市(非原住民地區),臺中市－西屯區,108/12/26－109/03/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200102&fn=BDM-1-52978862.xml,data/raw/taichung/2020/tenders/20200102_3.87.12_1081203900-21.json
